title,url,source,label
"17 Wholesome Posts That Will Definitely Restore Your Faith In Humanity
My heart is so full.:’)",https://www.buzzfeed.com/mugdhakusray1/17-photos-that-will-brighten-your-day,BuzzFeed,FAKE
"22 Wildly Popular Products With Over 1,000 Positive Reviews On Amazon",https://www.buzzfeed.com/shivaniagrawal/wildly-popular-home-products-with-over-1000-reviews?origin=hpp,BuzzFeed,FAKE
9 Grindr Profiles Every Desi Queer Person Has Come Across,https://www.buzzfeed.com/aqibspeaks/9-grindr-profiles-every-desi-queer-person-has-come-across,BuzzFeed,FAKE
These 15 Brutal City Roasts By ChatGPT Are The Funniest Thing You’ll Read Today,https://www.buzzfeed.com/arsheenkaur44/15-cities-got-roasted-by-chatgpt-and-i-threw-in-some-heat,BuzzFeed,FAKE
The Brutal Truth About What It Would Actually Cost To Live 'Comfortably' In San Francisco,https://www.buzzfeed.com/tanishtha_kotian/this-estimate-of-one-day-in-san-francisco-is-expensive,BuzzFeed,FAKE
Stephen Colbert’s Late Show Is Getting Canceled And These 11 Hilarious Moments Prove Why I'll Miss It,https://www.buzzfeed.com/arsheenkaur44/stephen-colberts-late-show-is-getting-canceled-and-these-11,BuzzFeed,FAKE
"21 Kitchen Appliances That Were A Hit Amongst BuzzFeed India Readers In 2021
We really leaned into make our kitchens more efficient this year.",https://www.buzzfeed.com/shivaniagrawal/best-selling-kitchen-appliances-2021?origin=hshp,BuzzFeed,FAKE
21 Gadgets That BuzzFeed India Readers Could Not Get Enough Of In 2021,https://www.buzzfeed.com/shivaniagrawal/best-selling-electronic-gadgets-2021?origin=hshp,BuzzFeed,FAKE
21 Things Under ₹500 That You Should Gift Yourself Before 2021 Ends,https://www.buzzfeed.com/shreyamali/treat-yourself-for-making-it-to-the-end-of-2021?origin=hshp,BuzzFeed,FAKE
21 Beauty Products BuzzFeed India Readers Loved Buying In 2021,https://www.buzzfeed.com/shivaniagrawal/beauty-products-buzzfeed-india-readers-loved-in-2021?origin=hshp,BuzzFeed,FAKE
"17 Products Under ₹1,000 That'll Definitely Help You Fulfill Your 2022 Workout Resolution",https://www.buzzfeed.com/shreyamali/home-workout-products-for-2022?origin=hshp,BuzzFeed,FAKE
18 Posts That Prove Not Everyone On The Internet Is A Complete Garbage Human,https://www.buzzfeed.com/tanishtha_kotian/18-wholesome-posts-that-made-me-ugly-cry-in-the-best-way,BuzzFeed,FAKE
"If You Can Recognize More Than 10 Movies From Just The 'The' In Their Titles, You're A Cinema Expert",https://www.buzzfeed.com/arsheenkaur44/only-true-film-buffs-can-identify-these-movies-from-just,BuzzFeed,FAKE
AI vs Local | Best Indian Chinese,https://www.buzzfeed.com/watch/video/244607,BuzzFeed,FAKE
Design Your Dream Summer Vacation And We'll Reveal Which 'The Summer I Turned Pretty' Character You're Destined For,https://www.buzzfeed.com/nuttercracker/the-summer-i-turned-pretty-quiz,BuzzFeed,FAKE
Lindsay Lohan's 'Pink Slip' Just Performed At Disneyland And My Inner Teen Is Absolutely Screaming,https://www.buzzfeed.com/kanksharaina/pink-slip-from-freaky-friday-just-performed-at-disneyland,BuzzFeed,FAKE
10 TV Shows With Badass Women Who Will Make You Feel Like You Can Conquer The World,https://www.buzzfeed.com/kanksharaina/10-tv-shows-with-powerful-female-leads-that-are-the-perfect,BuzzFeed,FAKE
These Designers Are Making Items Out Of Things You’d Never Expect,https://www.buzzfeed.com/arsheenkaur44/these-fashion-brands-proved-that-made-from-what-is-a-legit,BuzzFeed,FAKE
Your 8-Course Meal Choices Will Determine Which 'Modern Family' Character Lives Inside Your Soul,https://www.buzzfeed.com/tanishtha_kotian/eat-this-8-course-meal-and-find-your-modern-family-persona,BuzzFeed,FAKE
"From First Nominations To Snubs, The 2025 Emmy Nominations Are Quite Eventful",https://www.buzzfeed.com/tanishtha_kotian/8-emmy-nomination-moments-that-made-me-gasp-scream,BuzzFeed,FAKE
"13 Wimbledon Facts That Made Me Go Wait, What?",https://www.buzzfeed.com/arsheenkaur44/i-went-down-a-wimbledon-rabbit-hole-and-found-13-surprising,BuzzFeed,FAKE
"15 Fictional Love Triangles That Made Me Feel Things I'm Not Emotionally Equipped To Handle, Ranked",https://www.buzzfeed.com/tanishtha_kotian/ranking-fictional-love-triangles-that-had-me-blushing,BuzzFeed,FAKE
"I Tested Zudio Makeup Products So You Don't Have To, And Honestly Some Are Surprisingly Worth Every Penny",https://www.buzzfeed.com/sanika_dewade/i-tested-zudio-makeup-products-under-200,BuzzFeed,FAKE
Indian & Indian American Voice Note Diet Swap,https://www.buzzfeed.com/watch/video/244008,BuzzFeed,FAKE
The Labubu Craze Is Still Going Strong And These 25 Memes Are Absolutely Sending Me,https://www.buzzfeed.com/arsheenkaur44/labubu-memes-and-tweets-are-still-going-strong-and-these,BuzzFeed,FAKE
"If You're A K-Beauty Enthusiast, You'll Definitely Be Able To Name These Makeup Brands From A Single Image",https://www.buzzfeed.com/arsheenkaur44/only-a-true-korean-makeup-fan-can-guess-these-brands-from,BuzzFeed,FAKE
